2024-02-01 19:10:58 startup archives unpack
2024-02-01 19:10:58 upgrade firmware-ath9k-htc:all 1.4.0-106-gc583009+dfsg1-1 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1
2024-02-01 19:10:58 status half-configured firmware-ath9k-htc:all 1.4.0-106-gc583009+dfsg1-1
2024-02-01 19:10:58 status unpacked firmware-ath9k-htc:all 1.4.0-106-gc583009+dfsg1-1
2024-02-01 19:10:58 status half-installed firmware-ath9k-htc:all 1.4.0-106-gc583009+dfsg1-1
2024-02-01 19:10:58 status unpacked firmware-ath9k-htc:all 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1
2024-02-01 19:10:58 startup packages configure
2024-02-01 19:10:58 configure firmware-ath9k-htc:all 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1 <none>
2024-02-01 19:10:58 status unpacked firmware-ath9k-htc:all 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1
2024-02-01 19:10:58 status half-configured firmware-ath9k-htc:all 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1
2024-02-01 19:10:58 status installed firmware-ath9k-htc:all 1.4.0-108-gd856466+dfsg1-1.3~bpo11+1
2024-02-01 19:29:47 startup archives unpack
2024-02-01 19:29:48 install openmediavault-filebrowser:all <none> 6.0.8-1
2024-02-01 19:29:48 status triggers-pending openmediavault:all 6.9.12-2
2024-02-01 19:29:48 status half-installed openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:48 status unpacked openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:48 startup packages configure
2024-02-01 19:29:48 configure openmediavault-filebrowser:all 6.0.8-1 <none>
2024-02-01 19:29:48 status unpacked openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:48 status half-configured openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:54 status triggers-awaited openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:54 status triggers-pending openmediavault:all 6.9.12-2
2024-02-01 19:29:54 trigproc openmediavault:all 6.9.12-2 <none>
2024-02-01 19:29:54 status half-configured openmediavault:all 6.9.12-2
2024-02-01 19:29:54 status installed openmediavault-filebrowser:all 6.0.8-1
2024-02-01 19:29:55 status installed openmediavault:all 6.9.12-2
2024-02-02 15:50:23 startup archives unpack
2024-02-02 15:50:23 upgrade openmediavault:all 6.9.12-2 6.9.12-3
2024-02-02 15:50:23 status half-configured openmediavault:all 6.9.12-2
2024-02-02 15:50:23 status unpacked openmediavault:all 6.9.12-2
2024-02-02 15:50:23 status half-installed openmediavault:all 6.9.12-2
2024-02-02 15:50:23 status triggers-pending rsyslog:amd64 8.2102.0-2+deb11u1
2024-02-02 15:50:23 status unpacked openmediavault:all 6.9.12-3
2024-02-02 15:50:23 startup packages configure
2024-02-02 15:50:23 configure openmediavault:all 6.9.12-3 <none>
2024-02-02 15:50:23 status unpacked openmediavault:all 6.9.12-3
2024-02-02 15:50:24 status half-configured openmediavault:all 6.9.12-3
2024-02-02 15:50:43 status installed openmediavault:all 6.9.12-3
2024-02-02 15:50:43 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 15:50:43 status triggers-awaited openmediavault:all 6.9.12-3
2024-02-02 15:50:43 trigproc rsyslog:amd64 8.2102.0-2+deb11u1 <none>
2024-02-02 15:50:43 status half-configured rsyslog:amd64 8.2102.0-2+deb11u1
2024-02-02 15:50:43 status installed rsyslog:amd64 8.2102.0-2+deb11u1
2024-02-02 15:50:43 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 15:50:43 status half-configured openmediavault:all 6.9.12-3
2024-02-02 15:50:44 status installed openmediavault:all 6.9.12-3
2024-02-02 16:23:11 startup archives install
2024-02-02 16:23:11 install openmediavault-omvextrasorg:all <none> 6.3.6
2024-02-02 16:23:11 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:23:11 status half-installed openmediavault-omvextrasorg:all 6.3.6
2024-02-02 16:23:11 status unpacked openmediavault-omvextrasorg:all 6.3.6
2024-02-02 16:23:11 configure openmediavault-omvextrasorg:all 6.3.6 6.3.6
2024-02-02 16:23:11 status half-configured openmediavault-omvextrasorg:all 6.3.6
2024-02-02 16:23:18 status triggers-awaited openmediavault-omvextrasorg:all 6.3.6
2024-02-02 16:23:18 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:23:18 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:23:18 status installed openmediavault-omvextrasorg:all 6.3.6
2024-02-02 16:23:19 status installed openmediavault:all 6.9.12-3
2024-02-02 16:24:39 startup archives unpack
2024-02-02 16:24:39 install clamav-base:all <none> 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:39 status half-installed clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:39 status unpacked clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:39 install libltdl7:amd64 <none> 2.4.6-15
2024-02-02 16:24:39 status triggers-pending libc-bin:amd64 2.31-13+deb11u7
2024-02-02 16:24:39 status half-installed libltdl7:amd64 2.4.6-15
2024-02-02 16:24:39 status unpacked libltdl7:amd64 2.4.6-15
2024-02-02 16:24:39 install libmspack0:amd64 <none> 0.10.1-2
2024-02-02 16:24:39 status half-installed libmspack0:amd64 0.10.1-2
2024-02-02 16:24:39 status unpacked libmspack0:amd64 0.10.1-2
2024-02-02 16:24:39 install libtfm1:amd64 <none> 0.13-4
2024-02-02 16:24:39 status half-installed libtfm1:amd64 0.13-4
2024-02-02 16:24:40 status unpacked libtfm1:amd64 0.13-4
2024-02-02 16:24:40 install libclamav9:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status half-installed libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status unpacked libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 install clamav-freshclam:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status half-installed clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status unpacked clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 install clamav-daemon:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status half-installed clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status unpacked clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 install clamdscan:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status half-installed clamdscan:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status unpacked clamdscan:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 install openmediavault-clamav:all <none> 6.0.7-2
2024-02-02 16:24:40 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:24:40 status half-installed openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:40 status unpacked openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:40 startup packages configure
2024-02-02 16:24:40 configure libmspack0:amd64 0.10.1-2 <none>
2024-02-02 16:24:40 status unpacked libmspack0:amd64 0.10.1-2
2024-02-02 16:24:40 status half-configured libmspack0:amd64 0.10.1-2
2024-02-02 16:24:40 status installed libmspack0:amd64 0.10.1-2
2024-02-02 16:24:40 configure libtfm1:amd64 0.13-4 <none>
2024-02-02 16:24:40 status unpacked libtfm1:amd64 0.13-4
2024-02-02 16:24:40 status half-configured libtfm1:amd64 0.13-4
2024-02-02 16:24:40 status installed libtfm1:amd64 0.13-4
2024-02-02 16:24:40 configure libltdl7:amd64 2.4.6-15 <none>
2024-02-02 16:24:40 status unpacked libltdl7:amd64 2.4.6-15
2024-02-02 16:24:40 status half-configured libltdl7:amd64 2.4.6-15
2024-02-02 16:24:40 status installed libltdl7:amd64 2.4.6-15
2024-02-02 16:24:40 configure clamav-base:all 0.103.10+dfsg-0+deb11u1 <none>
2024-02-02 16:24:40 status unpacked clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:40 status half-configured clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 status installed clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 configure libclamav9:amd64 0.103.10+dfsg-0+deb11u1 <none>
2024-02-02 16:24:41 status unpacked libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 status half-configured libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 status installed libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 configure clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1 <none>
2024-02-02 16:24:41 status unpacked clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:41 status half-configured clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 status installed clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 configure clamdscan:amd64 0.103.10+dfsg-0+deb11u1 <none>
2024-02-02 16:24:42 status unpacked clamdscan:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 status half-configured clamdscan:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 status installed clamdscan:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 configure clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1 <none>
2024-02-02 16:24:42 status unpacked clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:42 status half-configured clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:43 status installed clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-02-02 16:24:43 configure openmediavault-clamav:all 6.0.7-2 <none>
2024-02-02 16:24:43 status unpacked openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:43 status half-configured openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:43 status triggers-awaited openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:43 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:24:43 trigproc libc-bin:amd64 2.31-13+deb11u7 <none>
2024-02-02 16:24:43 status half-configured libc-bin:amd64 2.31-13+deb11u7
2024-02-02 16:24:43 status installed libc-bin:amd64 2.31-13+deb11u7
2024-02-02 16:24:43 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:24:43 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:24:43 status installed openmediavault-clamav:all 6.0.7-2
2024-02-02 16:24:45 status installed openmediavault:all 6.9.12-3
2024-02-02 16:25:00 startup archives unpack
2024-02-02 16:25:00 install openmediavault-sharerootfs:all <none> 6.0.3-1
2024-02-02 16:25:00 status half-installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:25:00 status unpacked openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:25:00 install python3-lib2to3:all <none> 3.9.2-1
2024-02-02 16:25:00 status half-installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:25:00 status unpacked python3-lib2to3:all 3.9.2-1
2024-02-02 16:25:00 install python3-distutils:all <none> 3.9.2-1
2024-02-02 16:25:00 status half-installed python3-distutils:all 3.9.2-1
2024-02-02 16:25:00 status unpacked python3-distutils:all 3.9.2-1
2024-02-02 16:25:00 install python3-websocket:all <none> 0.57.0-1
2024-02-02 16:25:00 status half-installed python3-websocket:all 0.57.0-1
2024-02-02 16:25:00 status unpacked python3-websocket:all 0.57.0-1
2024-02-02 16:25:00 install python3-docker:all <none> 4.1.0-1.2
2024-02-02 16:25:00 status half-installed python3-docker:all 4.1.0-1.2
2024-02-02 16:25:00 status unpacked python3-docker:all 4.1.0-1.2
2024-02-02 16:25:00 install python3-unidecode:all <none> 1.2.0-1
2024-02-02 16:25:00 status half-installed python3-unidecode:all 1.2.0-1
2024-02-02 16:25:00 status unpacked python3-unidecode:all 1.2.0-1
2024-02-02 16:25:00 install python3-pretty-yaml:all <none> 20.4.0-1
