Feb 25 08:15:19 dionysos cron-apt: CRON-APT RUN [/etc/cron-apt/config]: Sun Feb 25 07:38:17 GMT 2024
Feb 25 08:15:19 dionysos cron-apt: CRON-APT SLEEP: 2219, Sun Feb 25 08:15:16 GMT 2024
Feb 25 08:15:19 dionysos cron-apt: CRON-APT ACTION: 0-update
Feb 25 08:15:19 dionysos cron-apt: CRON-APT LINE: /usr/bin/apt-get  update -o quiet=2
Feb 25 08:15:19 dionysos cron-apt: CRON-APT ACTION: 3-download
Feb 25 08:15:19 dionysos cron-apt: CRON-APT LINE: /usr/bin/apt-get  autoclean -y
Feb 25 08:15:19 dionysos cron-apt: Reading package lists...
Feb 25 08:15:19 dionysos cron-apt: Building dependency tree...
Feb 25 08:15:19 dionysos cron-apt: Reading state information...
Feb 25 08:15:19 dionysos cron-apt: CRON-APT LINE: /usr/bin/apt-get  dist-upgrade -d -y -o APT::Get::Show-Upgraded=true
Feb 25 08:15:19 dionysos cron-apt: Reading package lists...
Feb 25 08:15:19 dionysos cron-apt: Building dependency tree...
Feb 25 08:15:19 dionysos cron-apt: Reading state information...
Feb 25 08:15:19 dionysos cron-apt: Calculating upgrade...
Feb 25 08:15:19 dionysos cron-apt: 0 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
Feb 25 08:22:27 dionysos php: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:27 dionysos omv-engined[663652]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:33 dionysos omv-engined[663684]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:33 dionysos omv-engined[663690]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:34 dionysos omv-engined[663691]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos php: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos omv-engined[663701]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos php: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos php: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos php: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
Feb 25 08:22:35 dionysos omv-engined[663707]: Unknown or deprecated time zone [tz=]. Please reconfigure your time zone settings.
